names,scores,logfoldchanges,pvals,pvals_adj
CTNNA2,32.49038,0.5370628,1.4580985257174683e-231,6.453570899239918e-230
SRSF5,32.427853,0.4071688,1.1118058847540843e-230,4.89514324317478e-229
CCDC65,32.41276,1.0544277,1.81436852165051e-230,7.978010515173953e-229
SLC3A1,32.386383,1.0708233,4.267954034143349e-230,1.8742272200523636e-228
AL360091.3,32.38573,1.5298475,4.3594713082512725e-230,1.9119233412046793e-228
AC018462.1,32.37129,1.3536973,6.961561344023432e-230,3.0491457631911214e-228
AC022395.1,32.35174,2.1473548,1.3112924875327944e-229,5.72110797475124e-228
AL390774.2,32.343792,2.1582136,1.6962460807923178e-229,7.391068627845647e-228
LEFTY2,32.309563,5.641762,5.134674058417031e-229,2.2344456283669567e-227
IFT122,32.298462,0.73332727,7.351184614912246e-229,3.194872260638378e-227
PTPRJ,32.26113,0.64549816,2.4559021437025304e-228,1.065975463971503e-226
AHI1,32.22829,0.33139905,7.08851819888396e-228,3.0727859713617704e-226
ZKSCAN7-AS1,32.168266,0.9208144,4.906021218422435e-227,2.123966666823965e-225
KIF13B,32.124397,0.43063194,2.012679034006205e-226,8.702317743696661e-225
DNM3,32.07451,0.70144117,9.997849293863398e-226,4.311748526452074e-224
ZDHHC14,32.038956,0.74930805,3.1285754703817434e-225,1.3475278643657019e-223
RASA2,32.03768,0.413238,3.259229645448458e-225,1.4020098712387606e-223
B2M,32.01678,0.29590118,6.369643884657087e-225,2.7295463781554712e-223
RNF43,31.979145,1.0683035,2.126198672624046e-224,9.099698054805985e-223
AC022210.2,31.962315,1.275803,3.643479200353554e-224,1.5553823374690545e-222
C11orf65,31.922049,1.1305937,1.3202058777880647e-223,5.62164024976708e-222
TTC21B-AS1,31.898647,2.2338278,2.7878253869792613e-223,1.184105103205996e-221
AC107021.1,31.783918,2.4324062,1.0798804187768541e-221,4.557961436747118e-220
RAPH1,31.748594,0.46748006,3.3203217488761857e-221,1.396193222792106e-219
CFLAR-AS1,31.701838,1.4087639,1.4656892507225133e-220,6.147863679057993e-219
CCNH,31.689642,0.37710622,2.1580780919357153e-220,9.029613204047051e-219
OMD,31.677034,1.5329173,3.218968516086495e-220,1.345177389067312e-218
GPCPD1,31.643349,0.39013138,9.361686065254097e-220,3.907314870506673e-218
ARL17B,31.63749,1.0858557,1.127122960593447e-219,4.69848459885006e-218
PNKP,31.628777,0.6895033,1.4851695733873792e-219,6.183372258446688e-218
CARMIL1,31.551336,0.51370066,1.7190197243109685e-218,7.1130248592434945e-217
AC010201.3,31.538046,1.2799721,2.615392469046131e-218,1.0795545238040661e-216
NOSTRIN,31.51443,0.94435877,5.510688367333795e-218,2.271860533519423e-216
RSBN1L,31.50946,0.4487569,6.445577741802042e-218,2.6540336124618137e-216
PHACTR1,31.488413,0.6703407,1.2516860339467174e-217,5.14765433399186e-216
PTS,31.461155,0.7743853,2.9542673951629494e-217,1.2134833463887618e-215
ZBTB20-AS2,31.448269,2.2477152,4.4328521227488765e-217,1.818603230187913e-215
AL022238.2,31.355413,1.583122,8.208712307361065e-216,3.3594878242592397e-214
CARNMT1-AS1,31.310493,1.509775,3.3585496465820724e-215,1.3728479271380748e-213
INKA2,31.299114,1.4815277,4.797564297518055e-215,1.9586855838667045e-213
